File,1560-A.csv,
Date/Time,26-03-18/13:55,

Center Wavelength,1553,nm
Span Wavelength,50,nm
Start Wavelength,1528,nm
Stop Wavelength,1578,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,1.0,nm
Actual Resolution,0.937,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1528,nm
Stop,1578,nm
1564.300000,1.1530E-006
1564.400000,2.0180E-006
1564.500000,1.6990E-006
1564.600000,-3.1950E-007
1564.700000,1.9080E-006
1564.800000,-1.8550E-007
1564.900000,-3.4190E-007
1565.000000,5.7320E-007
1565.100000,1.3940E-006
1565.200000,8.4740E-007
1565.300000,1.4230E-006
1565.400000,5.4230E-007
1565.500000,1.8670E-006
1565.600000,2.3910E-007
1565.700000,1.7730E-006
1565.800000,1.6310E-006
1565.900000,2.0130E-007
1566.000000,7.8970E-007
1566.100000,3.0700E-006
1566.200000,6.4780E-007
1566.300000,5.5930E-007
1566.400000,3.1700E-006
1566.500000,1.0310E-006
1566.600000,1.9730E-006
1566.700000,-6.2120E-007
1566.800000,5.6170E-007
1566.900000,2.3930E-006
1567.000000,-2.3500E-007
1567.100000,2.9710E-007
1567.200000,1.0060E-006
1567.300000,-5.2710E-007
1567.400000,9.7130E-007
1567.500000,1.0830E-006
1567.600000,1.3880E-006
1567.700000,1.3700E-006
1567.800000,5.2050E-007
1567.900000,9.4290E-007
1568.000000,1.1190E-006
1568.100000,1.1400E-006
1568.200000,1.6110E-006
1568.300000,1.2610E-006
1568.400000,1.0590E-006
1568.500000,2.2130E-006
1568.600000,1.1000E-006
1568.700000,1.6690E-006
1568.800000,6.9260E-007
1568.900000,7.6130E-007
1569.000000,5.2230E-008
1569.100000,1.0870E-006
1569.200000,1.6410E-006
1569.300000,1.1910E-006
1569.400000,1.7010E-007
1569.500000,8.3910E-007
1569.600000,-4.7160E-007
1569.700000,8.8680E-007
1569.800000,-1.5530E-006
1569.900000,2.8010E-007
1570.000000,8.4620E-007
1570.100000,7.8810E-007
1570.200000,6.9830E-007
1570.300000,1.4960E-006
1570.400000,2.6740E-007
1570.500000,4.1130E-007
1570.600000,3.2910E-006
1570.700000,1.3660E-006
1570.800000,1.6220E-006
1570.900000,3.7030E-006
1571.000000,1.1520E-006
1571.100000,-8.7260E-007
1571.200000,3.2770E-006
1571.300000,8.9850E-007
1571.400000,6.1290E-007
1571.500000,1.9840E-006
1571.600000,-1.4590E-007
1571.700000,1.3580E-006
1571.800000,1.1640E-006
1571.900000,2.4420E-006
1572.000000,5.3310E-007
1572.100000,-8.2730E-007
1572.200000,1.3120E-006
1572.300000,3.2220E-007
1572.400000,6.6790E-007
1572.500000,3.3290E-007
1572.600000,9.0380E-007
1572.700000,7.4690E-007
1572.800000,1.4500E-006
1572.900000,1.5470E-007
1573.000000,7.4750E-007
1573.100000,-1.3920E-006
1573.200000,2.4190E-006
1573.300000,1.5020E-006
1573.400000,7.8650E-007
1573.500000,7.7770E-007
1573.600000,3.0320E-007
1573.700000,2.0830E-006
1573.800000,1.1640E-006
1573.900000,6.8920E-007
1574.000000,1.3920E-006
1574.100000,4.4090E-007
1574.200000,-8.3740E-007
1574.300000,1.5180E-006
1574.400000,1.2000E-006
1574.500000,-1.4660E-006
1574.600000,9.0550E-007
1574.700000,5.5890E-008
1574.800000,9.0580E-007
1574.900000,5.4400E-007
1575.000000,-5.4190E-007
1575.100000,5.2150E-007
1575.200000,-3.1740E-007
1575.300000,3.1210E-006
1575.400000,2.2230E-006
1575.500000,1.6890E-006
1575.600000,2.9200E-007
1575.700000,1.0570E-006
1575.800000,-1.3560E-006
1575.900000,1.2530E-006
1576.000000,1.0350E-006
1576.100000,1.0910E-006
1576.200000,5.0710E-007
1576.300000,1.0880E-006
1576.400000,5.7480E-008
1576.500000,9.9020E-007
