File,,REFLECTIVITY.csv,,,,,,,,
Date/Time,,26-03-05/14:34,,,,,,,,
,,,,,,,,,,
Trace,,A,,,,,,,,
1536.97,-1.146362618,7.1390E-002,1536.97,7.1390E-002,1536.97,7.1390E-002,1536.97,7.1390E-002,1536.97,7.1390E-002
1537.04,-1.161843815,6.8890E-002,1537.04,6.8890E-002,1537.04,6.8890E-002,1537.04,6.8890E-002,1537.04,6.8890E-002
1537.11,-1.177308989,6.6480E-002,1537.11,6.6480E-002,1537.11,6.6480E-002,1537.11,6.6480E-002,1537.11,6.6480E-002
1537.18,-1.192059279,6.4260E-002,1537.18,6.4260E-002,1537.18,6.4260E-002,1537.18,6.4260E-002,1537.18,6.4260E-002
1537.25,-1.206000199,6.2230E-002,1537.25,6.2230E-002,1537.25,6.2230E-002,1537.25,6.2230E-002,1537.25,6.2230E-002
1537.32,-1.219610672,6.0310E-002,1537.32,6.0310E-002,1537.32,6.0310E-002,1537.32,6.0310E-002,1537.32,6.0310E-002
1537.39,-1.232992636,5.8480E-002,1537.39,5.8480E-002,1537.39,5.8480E-002,1537.39,5.8480E-002,1537.39,5.8480E-002
1537.46,-1.246034134,5.6750E-002,1537.46,5.6750E-002,1537.46,5.6750E-002,1537.46,5.6750E-002,1537.46,5.6750E-002
1537.53,-1.25774633,5.5240E-002,1537.53,5.5240E-002,1537.53,5.5240E-002,1537.53,5.5240E-002,1537.53,5.5240E-002
1537.6,-1.269621531,5.3750E-002,1537.6,5.3750E-002,1537.6,5.3750E-002,1537.6,5.3750E-002,1537.6,5.3750E-002
1537.67,-1.281166282,5.2340E-002,1537.67,5.2340E-002,1537.67,5.2340E-002,1537.67,5.2340E-002,1537.67,5.2340E-002
1537.74,-1.29191919,5.1060E-002,1537.74,5.1060E-002,1537.74,5.1060E-002,1537.74,5.1060E-002,1537.74,5.1060E-002
1537.81,-1.302247726,4.9860E-002,1537.81,4.9860E-002,1537.81,4.9860E-002,1537.81,4.9860E-002,1537.81,4.9860E-002
1537.88,-1.31229272,4.8720E-002,1537.88,4.8720E-002,1537.88,4.8720E-002,1537.88,4.8720E-002,1537.88,4.8720E-002
1537.95,-1.321572678,4.7690E-002,1537.95,4.7690E-002,1537.95,4.7690E-002,1537.95,4.7690E-002,1537.95,4.7690E-002
1538.02,-1.330683119,4.6700E-002,1538.02,4.6700E-002,1538.02,4.6700E-002,1538.02,4.6700E-002,1538.02,4.6700E-002
