File,1560-B.csv,
Date/Time,26-03-18/13:55,

Center Wavelength,1553,nm
Span Wavelength,50,nm
Start Wavelength,1528,nm
Stop Wavelength,1578,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,1.0,nm
Actual Resolution,0.937,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,B
Start,1528,nm
Stop,1578,nm
1554.300000,4.9540E-007
1554.400000,7.8640E-007
1554.500000,2.8370E-006
1554.600000,7.7050E-007
1554.700000,2.0470E-006
1554.800000,1.4120E-006
1554.900000,1.2100E-006
1555.000000,8.0800E-007
1555.100000,6.4290E-007
1555.200000,-1.2370E-007
1555.300000,1.8370E-006
1555.400000,1.9800E-006
1555.500000,1.3770E-006
1555.600000,9.7380E-007
1555.700000,1.6880E-006
1555.800000,2.3660E-006
1555.900000,1.5640E-007
1556.000000,2.4630E-006
1556.100000,-1.0120E-006
1556.200000,1.5190E-006
1556.300000,3.0560E-006
1556.400000,2.8120E-006
1556.500000,1.8560E-006
1556.600000,5.8240E-007
1556.700000,2.7750E-006
1556.800000,8.6890E-007
1556.900000,1.8900E-006
1557.000000,9.2320E-007
1557.100000,1.3670E-006
1557.200000,9.0640E-007
1557.300000,9.8270E-007
1557.400000,1.3460E-006
1557.500000,3.2380E-006
1557.600000,1.4070E-006
1557.700000,6.7310E-007
1557.800000,1.8070E-006
1557.900000,-9.2270E-007
1558.000000,2.1610E-006
1558.100000,1.3270E-006
1558.200000,-6.3790E-008
1558.300000,1.5910E-006
1558.400000,2.1740E-006
1558.500000,9.3680E-007
1558.600000,2.2270E-006
1558.700000,2.2160E-006
1558.800000,1.1490E-006
1558.900000,5.3850E-008
1559.000000,2.0880E-006
1559.100000,1.1710E-006
1559.200000,1.8220E-006
1559.300000,2.2810E-006
1559.400000,5.8830E-005
1559.500000,1.5740E-004
1559.600000,1.9710E-004
1559.700000,2.0330E-004
1559.800000,1.9960E-004
1559.900000,2.0060E-004
1560.000000,1.9330E-004
1560.100000,1.9960E-004
1560.200000,1.9660E-004
1560.300000,1.5910E-004
1560.400000,8.2960E-005
1560.500000,1.1360E-005
1560.600000,3.8090E-006
1560.700000,2.0110E-006
1560.800000,1.3000E-006
1560.900000,2.2910E-006
1561.000000,-1.2230E-006
1561.100000,1.6640E-006
1561.200000,1.1600E-006
1561.300000,2.0340E-006
1561.400000,2.3650E-006
1561.500000,1.4330E-006
1561.600000,5.2980E-007
1561.700000,2.6820E-007
1561.800000,2.7690E-007
1561.900000,1.4520E-006
1562.000000,1.3960E-006
1562.100000,1.3950E-006
1562.200000,-2.1660E-007
1562.300000,7.9570E-007
1562.400000,7.4520E-007
1562.500000,1.2320E-006
1562.600000,-1.2560E-008
1562.700000,7.0120E-007
1562.800000,3.7820E-007
1562.900000,-1.7210E-007
1563.000000,3.4350E-007
1563.100000,5.2470E-007
1563.200000,2.5160E-006
1563.300000,-5.7140E-008
1563.400000,-6.0260E-007
1563.500000,1.3770E-006
1563.600000,4.4680E-007
1563.700000,8.0180E-007
1563.800000,1.1600E-006
1563.900000,2.1550E-006
1564.000000,1.3520E-006
1564.100000,1.6020E-006
1564.200000,-1.1250E-007
1564.300000,6.7760E-007
1564.400000,1.3810E-006
1564.500000,6.5740E-007
1564.600000,-1.3690E-007
1564.700000,1.4920E-006
1564.800000,8.6760E-007
1564.900000,1.8570E-006
1565.000000,-1.5640E-007
1565.100000,-1.5980E-006
1565.200000,-4.6060E-007
1565.300000,9.2800E-007
1565.400000,-1.3020E-007
1565.500000,1.6940E-006
1565.600000,7.1840E-007
1565.700000,-1.0030E-006
1565.800000,8.6160E-007
1565.900000,1.1740E-006
1566.000000,1.4480E-007
1566.100000,7.1290E-007
1566.200000,5.2420E-007
1566.300000,1.0440E-006
1566.400000,1.0350E-006
1566.500000,4.0650E-007
1566.600000,3.0820E-007
1566.700000,1.0750E-006
1566.800000,-1.2080E-006
1566.900000,-1.4210E-006
1567.000000,9.7760E-007
1567.100000,1.7480E-007
1567.200000,1.1250E-006
1567.300000,1.2230E-006
1567.400000,2.4550E-006
1567.500000,-3.9770E-007
1567.600000,4.0740E-007
1567.700000,-4.6640E-007
1567.800000,-1.0210E-006
1567.900000,-1.1040E-006
1568.000000,4.4270E-007
1568.100000,1.3630E-006
1568.200000,4.1440E-007
1568.300000,-7.6010E-007
1568.400000,7.6080E-007
1568.500000,2.6030E-007
1568.600000,-2.4960E-007
1568.700000,2.0230E-006
1568.800000,7.0140E-007
1568.900000,2.3210E-007
1569.000000,1.2590E-006
1569.100000,9.2430E-007
1569.200000,-5.0080E-007
1569.300000,-1.4500E-008
1569.400000,-6.6220E-007
1569.500000,1.1060E-006
1569.600000,1.4100E-006
1569.700000,-1.2920E-006
1569.800000,1.5110E-006
1569.900000,-5.9900E-008
1570.000000,2.1790E-006
1570.100000,-4.3650E-007
1570.200000,3.6310E-007
1570.300000,-3.8910E-007
1570.400000,2.0380E-006
1570.500000,4.1130E-007
1570.600000,-1.1640E-006
1570.700000,-1.6990E-007
1570.800000,-5.6890E-007
1570.900000,8.7240E-007
1571.000000,-2.3760E-007
1571.100000,-8.8240E-007
1571.200000,-1.1540E-006
1571.300000,1.0540E-006
1571.400000,2.5130E-007
1571.500000,-1.0780E-006
1571.600000,7.5520E-007
1571.700000,2.6240E-006
1571.800000,-2.2620E-007
1571.900000,1.9860E-006
1572.000000,7.2470E-007
1572.100000,-7.0350E-007
1572.200000,6.8320E-007
1572.300000,2.2600E-006
1572.400000,1.3150E-007
1572.500000,8.4490E-007
1572.600000,3.4830E-007
1572.700000,-6.1240E-007
1572.800000,-9.0870E-008
1572.900000,1.4400E-007
1573.000000,-4.3900E-007
1573.100000,7.8500E-007
1573.200000,1.2130E-006
1573.300000,-8.1280E-007
1573.400000,1.5460E-006
1573.500000,9.6970E-007
1573.600000,-3.6990E-007
1573.700000,-6.3640E-007
1573.800000,1.1970E-007
1573.900000,-5.1830E-007
1574.000000,-4.3050E-007
1574.100000,-5.3840E-007
1574.200000,1.3640E-006
1574.300000,-3.4920E-007
1574.400000,1.2360E-006
1574.500000,-2.3910E-007
1574.600000,-3.6630E-007
1574.700000,1.1770E-006
1574.800000,-1.0400E-007
1574.900000,-3.1960E-007
1575.000000,6.7570E-007
1575.100000,8.3240E-007
1575.200000,2.8180E-007
1575.300000,1.4670E-006
1575.400000,1.8550E-007
1575.500000,2.8830E-008
1575.600000,7.9740E-007
1575.700000,-2.3810E-007
1575.800000,-8.0650E-008
1575.900000,9.7450E-007
1576.000000,-2.0080E-006
1576.100000,7.1930E-007
1576.200000,7.8620E-008
1576.300000,-1.2100E-006
1576.400000,1.0410E-006
1576.500000,-1.1520E-006
1576.600000,4.7510E-007
1576.700000,4.5700E-007
1576.800000,9.3490E-007
1576.900000,-3.4010E-007
1577.000000,8.5300E-008
1577.100000,-1.9160E-009
1577.200000,2.7790E-007
1577.300000,-3.6990E-007
1577.400000,-2.0570E-006
1577.500000,2.5340E-006
1577.600000,3.5560E-007
1577.700000,3.2590E-007
1577.800000,1.7420E-006
1577.900000,9.4590E-007
1578.000000,8.4960E-007
